field_1,kraftwerksnummer_bundesnetzagentur,unternehmen,kraftwerksname,plz_standort_kraftwerk,ort_standort_kraftwerk,stra_e_und_hausnummer_standort_kraftwerk,bundesland,blockname,aufnahme_der_kommerziellen_stromerzeugung_der_derzeit_in_betrie,kraftwerksstatus_in_betrieb_vorlaufig_stillgelegt_saisonale_k,energietrager,spezifizierung_mehrere_energietrager_und_sonstige_energietrag,spezifizierung_mehrere_energietrager___zusatz__ersatzbrennst,auswertungenergietrager_zuordnung_zu_einem_hauptenergietrage,vergutungsfahig_nach_eeg_ja_nein,warmeauskopplung_kwk_ja_nein,netto_nennleistung_elektrische_wirkleistung_in_mw,bezeichnung_verknupfungspunkt_schaltanlage_mit_dem_stromnetz,netz__oder_umspannebene_des_anschlusses_in_kv,name_stromnetzbetreiber,the_geom,cartodb_id,created_at,updated_at,cartodb_georef_status
,BNA0413a,RWE Generation SE,Westfalen,59071,Hamm-Uentrop,,Nordrhein-Westfalen,C,1969,saisonale Konservierung,Mehrere Energieträger,Steinkohle,Tiermehl / SBS,Steinkohle,Nein,Nein,284,Lippborg,110,Westnetz GmbH,,385,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,false
,BNA0413b,RWE Generation SE,Westfalen,59071,Hamm-Uentrop,,Nordrhein-Westfalen,D,2014,Sonderfall,Steinkohle,,,Steinkohle,Nein,Nein,765,Uentrop,380,Amprion GmbH,,386,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,false
,BNA0413c,RWE Generation SE,Westfalen,59071,Hamm-Uentrop,,Nordrhein-Westfalen,E,2014,in Betrieb,Steinkohle,,,Steinkohle,Nein,Nein,765,Uentrop,380,Amprion GmbH,,387,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,false
,BNA1649,,WP Lindenberg,34270,Schauenburg,,Hessen,,2014,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,Nein,12,,MS,EnergieNetz Mitte GmbH,,1642,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,false
,BNA1365,,,03229,Luckaitztal,Flugplatzstraße,Brandenburg,,2012,in Betrieb,Solare Strahlungsenergie,,,Solare Strahlungsenergie,Ja,,11.425,,,Mitteldeutsche Netzgesellschaft Strom mbH,,1323,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,false
,BNA1391,,,03159,Neiße-Malxetal,"Am Groß Schacksdorfer Wald (u.a.164,162,104,177,426)",Brandenburg,,2012,in Betrieb,Solare Strahlungsenergie,,,Solare Strahlungsenergie,Ja,,22.12467,,,Mitteldeutsche Netzgesellschaft Strom mbH,,1349,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,false
,BNA1197,Technische Werke Ludwigshafen AG,FHKW Ludwigshafen,67063,Ludwigshafen,Industriestr. 3 ,Rheinland-Pfalz,FHKW,1954,in Betrieb,Mehrere Energieträger,Abfall,"Erdgas, Heizöl",Abfall,Nein,Ja,28.7,H1,20,Kommunale Netzgesellschaft Südwest mbH,0101000020E6100000F836FDD98FE420400B410E4A98BD4840,1148,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0614a,BASF SE,KW Mitte,67056,Ludwigshafen,A 855,Rheinland-Pfalz,GT 1,1992,Sonderfall,Erdgas,,,Erdgas,Nein,Ja,43,,,internes Netz,0101000020E6100000F836FDD98FE420400B410E4A98BD4840,572,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0614b,BASF SE,Kraftwerk Mitte,67056,Ludwigshafen,A 800,Rheinland-Pfalz,"GUD A 800 GT 11, GT 12, DT 10",2005,in Betrieb,Erdgas,,,Erdgas,Nein,Ja,490,W210,220,Amprion GmbH,0101000020E6100000F836FDD98FE420400B410E4A98BD4840,573,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0615,BASF SE,Kraftwerk Süd,67056,Ludwigshafen,C 200,Rheinland-Pfalz,"GUD C 200GT 1, GT 2, DT 1",1997,in Betrieb,Erdgas,,,Erdgas,Nein,Ja,390,,,internes Netz,0101000020E6100000F836FDD98FE420400B410E4A98BD4840,574,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0616a,BASF SE,Kläranlage,67056,Ludwigshafen,Z 564,Rheinland-Pfalz,Z564,1992,in Betrieb,Mehrere Energieträger,Klärschlamm,"Kohle, Brams",Abfall,Nein,Ja,12,,,internes Netz,0101000020E6100000F836FDD98FE420400B410E4A98BD4840,575,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0923,,,39418,Staßfurt,,Sachsen-Anhalt,,2000,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,17,,MS,Avacon AG,0101000020E61000005D16139B8F2B2740A2629CBF09ED4940,878,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA1651,,WP Sehestedt,24814,Sehestedt,,Schleswig-Holstein,,2014,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,Nein,12,,HS,Schleswig-Holstein Netz AG,0101000020E6100000A73FFB9122A223405036E50AEF2E4B40,1644,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA1278,LHI Solar Deutschland VI GmbH & Co. KG,Welzow II Flughafen,3119,Welzow,,Brandenburg,,2011,in Betrieb,Solare Strahlungsenergie,,,Solare Strahlungsenergie,Ja,Nein,18.6,,110,Mitteldeutsche Netzgesellschaft Strom mbH,0101000020E6100000650113B875572C40F4893C49BACA4940,1220,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:36.047954+00,true
,BNA1315,Universitätsklinikum Freiburg AdöR,HKW,79106,Freiburg,Hartmannstrasse 1,Baden-Württemberg,HKW,2001,in Betrieb,Mehrere Energieträger,Erdgas,Biomasse (Holzpellets),Erdgas,Nein,Ja,25,Übergabe,20,bnNETZE GmbH,0101000020E61000000DFD135CAC681F400F0BB5A679FF4740,1262,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:36.047954+00,true
,BNA1168,Müllheizkraftwerk Kassel GmbH,Müllheizkraftwerk,34123,Kassel,,Hessen,,1985,in Betrieb,Mehrere Energieträger,"Haus- und Industriemüll, Erdgas, Heizöl","Haus- und Industriemüll, Erdgas, Heizöl",Abfall,Nein,Ja,14.7,DE0003323412300000000009942006855,60,Städtische Werke Netz + Service GmbH,0101000020E61000000000000000002340EACF7EA488A84940,1114,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:36.047954+00,true
,BNA1419,Solarparc AG,Pütnitz,18311,Ribnitz-Damgarten,Militärflughafen Pütnitz,Mecklenburg-Vorpommern,,2012,in Betrieb,Solare Strahlungsenergie,,,Solare Strahlungsenergie,Ja,,21.339055,,,E.DIS AG,0101000020E610000060C8EA56CFE92840AC8BDB68001F4B40,1385,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:36.047954+00,true
,BNA1176b,Repower Deutschland GmbH,Lübbenau,3222,Kittlitz,,Brandenburg,WIP Kittlitz II,2010,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,Nein,16,Lübbenau,20,Mitteldeutsche Netzgesellschaft Strom mbH,0101000020E6100000A2629CBF09D52B4003ECA35357EA4940,1122,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:36.047954+00,true
,BNA1483,Treuhänder: EEV Erneuerbare Energien Verwaltungs GmbH Dresden,UW Burg,39291,Schermen,,Sachsen-Anhalt,,2007,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,Nein,16,UW Burg,110,Avacon AG,0101000020E610000054A9D903ADA02740D95A5F24B41D4A40,1454,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:36.047954+00,true
,BNA1269,RWE Innogy GmbH,Trier,54234,Trier,,Rheinland-Pfalz,,1961,in Betrieb,Laufwasser,,,Laufwasser,Nein,Nein,18.8,,20,Westnetz GmbH,0101000020E610000058CA32C4B18E1A40789CA223B9E04840,1213,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:36.047954+00,true
,BNA1504,Daimler AG,BHKW,76742,Woerth,Daimler Str. 1,Rheinland-Pfalz,,2013,in Betrieb,Erdgas,,,Erdgas,Nein,Ja,13,UW Daimler Wörth,110,Pfalzwerke Netzgesellschaft mbH ,,1476,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:36.047954+00,false
,BNA1486,ROMONTA GmbH,Grubenheizkraftwerk,6317,Seegebiet Mansfelder Land,Chausseestraße 1,Sachsen-Anhalt,,1979,in Betrieb,Braunkohle,,,Braunkohle,Nein,Ja,49,SF6-Schaltanlage Amsdorf Braunkohle,110,Mitteldeutsche Netzgesellschaft Strom mbH,,1457,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:36.047954+00,false
,BNA1259,GERO Solarpark GmbH,Solarpark Amsdorf,6317,Seegebiet Mansfelder Land OT Amsdorf,Chausseestraße 1,Sachsen-Anhalt,,2012,in Betrieb,Solare Strahlungsenergie,,,Solare Strahlungsenergie,Ja,Nein,28.344,Umspannwerk Amsdorf Solar,110,Mitteldeutsche Netzgesellschaft Strom mbH,,1203,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:36.047954+00,false
,BNA1310,Windpark GmbH & Co. Enningerloh KG,Windpark Enningerloh,59320,Enningerloh,,Nordrhein-Westfalen,,2009,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,nein,18,,30,Westnetz GmbH,,1257,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:36.047954+00,false
,BNA0548a,Statkraft Markets GmbH,Knapsack Gas I,50351,Hürth-Knapsack,,Nordrhein-Westfalen,,2006,in Betrieb,Erdgas,,,Erdgas,Nein,Nein,800,,400,Amprion GmbH,,504,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,false
,,EEG-Anlagen < 10 MW,,,,,Schleswig-Holstein,,,in Betrieb,Biomasse,,,Biomasse,Ja,,341.94721,,,,,1665,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.661756+00,
,BNA1466,Alzkraftwerke Heider GmbH,Kraftwerk 3,84579,Unterneukirchen,Mühlthal 1,Bayern,,1920,in Betrieb,Laufwasser,,,Laufwasser,Nein,Nein,18.5,Schaltstelle 2,10,AlzChem AG,0101000020E6100000EBE2361AC03B2940211FF46C56154840,1437,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.661756+00,true
,BNA0406,,,21039,Hamburg,,Schleswig-Holstein,,1995,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,12.2,,MS,Stromnetz Hamburg GmbH,,379,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.661756+00,
,BNA0663,Sintfeld REGO-Strom GmbH,,34431,Marsberg ,,Nordrhein-Westfalen,,2001,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,18,,HS,Westnetz GmbH,,617,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.661756+00,
,BNA0060,Breeze Two Energy GmbH & Co. KG,,50181,Bedburg ,,Nordrhein-Westfalen,,2006,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,24,,HS/MS,Westnetz GmbH,,59,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.661756+00,
,BNA0418,Stadtwerke Hannover AG,GKL,30169,Hannover,,Niedersachsen,GKL,1998 / 2013,in Betrieb,Erdgas,,,Erdgas,Nein,Ja,250,UW-Linden,110,enercity Netzgesellschaft mbH ,0101000020E6100000D68BA19C68772340C84109336D2F4A40,390,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0392b,Heizkraftwerk Halle-Trotha GmbH,HKW Halle Trotha,6130,Halle,,Sachsen-Anhalt,GuD,2013,in Betrieb,Erdgas,,,Erdgas,Nein,Ja,54,UW Halle Nord,110,Mitteldeutsche Netzgesellschaft Strom mbH,,365,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.661756+00,
,BNA0392a,EVH GmbH,HKW Halle Trotha,6130,Halle,,Sachsen-Anhalt,Block A und B,2005,in Betrieb,Erdgas,,,Erdgas,Nein,Ja,97,UW Halle Dieselstraße,110,Energieversorgung Halle Netz GmbH,,364,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.661756+00,
,BNA0059b,Volkswagen AG,"GuD Baunatal, VW Werksgelände",34225,Baunatal,,Hessen,,2013,in Betrieb,Erdgas,,,Erdgas,Nein,Ja,78,UW Rengershausen,110,Avacon AG,0101000020E6100000C63368E89FD02240473D44A33BA04940,58,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,,EEG-Anlagen < 10 MW,,,,,Thüringen,,,in Betrieb,Laufwasser,,,Laufwasser,Ja,,31.69323,,,,,1706,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.661756+00,
,BNA1295,AVA Abfallverwertung Augsburg GmbH,AVA GmbH,86167,Augsburg,Am Mittleren Moos 60,Bayern,AHKW,1993,in Betrieb,Abfall,,,Abfall,Nein,ja,10,V0 BBC06,10,Netze Augsburg GmbH,0101000020E61000000742B28009CC2540F3936A9F8E2F4840,1242,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:36.047954+00,true
,BNA0013,Windpark Balkum-Thiene GmbH & Co. KG,,49594,Alfhausen ,,Niedersachsen,,2007,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,27.6,,MS,Westnetz GmbH,,16,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.661756+00,
,BNA0034,Bürgerwindpark Königsmoor GmbH & Co KG,,26607,Aurich,,Niedersachsen,,2009,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,19.5,,HS/MS,EWE NETZ GmbH,0101000020E6100000AED3484BE5ED1D401CCEFC6A0EBC4A40,35,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA1366,,,04720,Großweitzschen,Heiterer Blick,Sachsen,,2012,in Betrieb,Solare Strahlungsenergie,,,Solare Strahlungsenergie,Ja,,10.79104,,,Mitteldeutsche Netzgesellschaft Strom mbH,0101000020E61000009A99999999192A40B79C4B7155954940,1324,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:36.047954+00,true
,BNA0966,,,31311,Uetze,,Niedersachsen,,2001,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,18.1,,MS,Avacon AG,0101000020E6100000D4F19881CA682440738577B9883B4A40,919,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0273,Stadtwerke Flensburg GmbH,Heizkraftwerk FL,24939,Flensburg,,Schleswig-Holstein,Block 8,1982,in Betrieb,Steinkohle,,,Steinkohle,Nein,ja,35,SW Flensburg GmbH,60,Stadtwerke Flensburg GmbH ,0101000020E61000002C6519E258D72240CA32C4B12E664B40,269,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.661756+00,true
,BNA1398,Kronoply GmbH,Energieanlage 3,16909,Heiligengrabe,Wittstocker Chaussee 1,Brandenburg,,2002,in Betrieb,Biomasse,Biomasse (Holz),,Biomasse,Ja,Nein,18.64,UW Heiligengrabe,10,E.DIS AG,0101000020E6100000D2FBC6D79EB9284058569A9482924A40,1360,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:36.047954+00,true
,BNA0690,Windpark Achmer Vinte GmbH & Co. KG Renditefonds,,49586,Neuenkirchen ,,Niedersachsen,,2005,in Betrieb,Windenergie (Onshore-Anlage),,,Windenergie (Onshore-Anlage),Ja,,18.4,,HS,Westnetz GmbH,,646,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.661756+00,
,BNA0659,Evonik Degussa GmbH,Kraftwerk III,45772,Marl,,Nordrhein-Westfalen,Block 312,1974,in Betrieb,Erdgas,,,Erdgas,Nein,Ja,77.57,,110,Evonik Degussa GmbH,0101000020E610000094D920938C5C1C40637AC2120FD44940,612,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0470,Vattenfall Europe Generation AG,Hohenwarte 2,7338,Hohenwarte,Preßwitzer Str. 25,Thüringen,PSS D,1966,in Betrieb,Pumpspeicher,,,Pumpspeicher,Nein,Nein,,Remptendorf,220,50 Hertz Transmission GmbH,0101000020E6100000F3599E0777F72640CDCCCCCCCC4C4940,433,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0701,Hummel Energiesysteme Neuss I,,41460,Neuss ,,Nordrhein-Westfalen,,2008,in Betrieb,Biomasse,,,Biomasse,Ja,,12.1,,MS,Westnetz GmbH,0101000020E6100000AFCE31207BBD1A40CC28965B5A994940,657,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,BNA0852,Gehrlicher GmbH & Co. Solarpark Rothenburg KG / Stadtwerke München GmbH,Rothenburg KG,2929,Rothenburg ,Friedenstr. 105c,Sachsen,,2010,in Betrieb,Solare Strahlungsenergie,,,Solare Strahlungsenergie,Ja,Nein,20.493,DE000726102929EP00000000000049869,20,ENSO Netz GmbH,,797,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.661756+00,
,BNA0207,DREWAG Stadtwerke Dresden GmbH,HKW Dresden-Nossener Brücke,1169,Dresden ,Oederaner Str. 21 - 25,Sachsen,"HKW Dresden-Nossener Brücke (3 GT + 1 DT, Sammelschiene)",1995,in Betrieb,Mehrere Energieträger,Erdgas,HEL,Erdgas,Nein,Ja,250,110 kV Trafo 111 - 114,110,DREWAG NETZ GmbH ,,193,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.661756+00,
,BNA1529j,Photovoltaikkraftwerk Alt Daber 10 GmbH & Co. KG,,16909,Wittstock / Dosse,,Brandenburg,,2011,in Betrieb,Solare Strahlungsenergie,,,Solare Strahlungsenergie,Ja,,5.5,,,,,1515,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,false
,BNA0203,E.ON Kraftwerke GmbH,Knepper,44357,Dortmund,,Nordrhein-Westfalen,C,1971,Endgültig Stillgelegt 2014,Steinkohle,,,Steinkohle,Nein,Ja,345,Pöppinghausen,380,Amprion GmbH,0101000020E610000077BE9F1A2FDD1D407DB3CD8DE9C14940,1761,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
,,EEG-Anlagen < 10 MW,,,,,Hessen,,,in Betrieb,Biomasse,,,Biomasse,Ja,,215.99594,,,,,1657,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.661756+00,
,BNA0310,RWE Power AG,Frimmersdorf,41517,Grevenbroich-Frimmersdorf,,Nordrhein-Westfalen,M,1962,Endgültig Stillgelegt 2012,Braunkohle,,,Braunkohle,Nein,Nein,138,Frimmersdorf,110,Westnetz GmbH,,1773,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:36.047954+00,false
,BNA1510,Spreestromerzeugungs GmbH,Hamburger Rieger,3130,Spremberg,An der Heide B5,Brandenburg,,2013,in Betrieb,Abfall,,,Abfall,Nein,Ja,18.7,,110,Mitteldeutsche Netzgesellschaft Strom mbH,0101000020E610000073D712F241BF2C40221ADD41ECC84940,1482,2015-08-08 15:14:17.278967+00,2015-08-08 15:18:35.892697+00,true
